wave,variable_id,question_type,scale_type,scale_points,max_value,missing_codes,distinctive_keyword,question_text
W2,ir13a,interviewer,likert_3,2,3,7; 9,office,How far is it between the nearest public transportation stop and the respondent's house? Post-office
W2,ir13b,interviewer,likert_3,2,3,7; 9,school,How far is it between the nearest public transportation stop and the respondent's house? School
W2,ir13d,interviewer,likert_3,2,3,7; 9,sewerage,How far is it between the nearest public transportation stop and the respondent's house? Sewerage sy...
W2,ir13e,interviewer,likert_3,2,3,7; 9,health,How far is it between the nearest public transportation stop and the respondent's house? Health clin...
W2,ir13f,interviewer,likert_3,2,3,7; 9,signal,How far is it between the nearest public transportation stop and the respondent's house? Signal for ...
W2,ir13g,interviewer,likert_3,2,3,7; 9,recreational,How far is it between the nearest public transportation stop and the respondent's house? Recreationa...
W2,ir13h,interviewer,likert_3,2,3,7; 9,churches,How far is it between the nearest public transportation stop and the respondent's house? Any churche...
W2,ir13i,interviewer,likert_3,2,3,7; 9,halls,How far is it between the nearest public transportation stop and the respondent's house? Any town ha...
W2,ir13k,interviewer,likert_3,2,3,7; 9,market,How far is it between the nearest public transportation stop and the respondent's house? Market stal...
W2,ir2,interviewer,ordinal,3,8,-1; 7; 8; 9,questionnaire,Is this the first questionnaire interviewers have completed?
W2,ir3a_1,interviewer,binary,2,2,-1; 7; 8; 9,spouse,Spouse
W2,ir3a_2,interviewer,binary,2,2,-1; 7; 8; 9,children,Children
W2,ir3a_3,interviewer,binary,2,2,-1; 7; 8; 9,parents,Parents or parents in law
W2,ir3a_4,interviewer,binary,2,2,-1; 7; 8; 9,passers,Neighbors/Passers by
W2,ir3a_5,interviewer,binary,2,2,-1; 7; 8; 9,party,Party/Government Official
W2,ir3a_6,interviewer,binary,2,2,-1; 7; 8; 9,others,Others
W2,irII13c,interviewer,likert_3,2,3,7; 9,station,How far is it between the nearest public transportation stop and the respondent's house? Police stat...
W2,q112,core_questionnaire,likert_4,4,4,7; 8; 9,withhold,How often do government officials withhold important information from the public view?
W2,q113,core_questionnaire,likert_4,4,4,7; 8; 9,abide,How often do national government officials abide by the law? (HK: Hong Kong government)
W2,q114,core_questionnaire,likert_4,4,4,7; 8; 9,offer,How often do your think our elections offer the voters a real choice between different parties/candi...
W2,q119_1,core_questionnaire,binary,2,2,7; 8; 9,119_1,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politicia...
